,person,text
450,holt,"Look strong, but fair. But approachable. But professional. And fun. But not too fun. This is your job. Can you handle all that?"
451,holt,Did you win?
452,holt,"That's enough, Gina."
453,holt,"And all I'm saying as a, if not the, boss here is, if you're not gonna support me, you can leave."
454,holt,"Well, you must feel like a celebrity. A regular Ira Glass."
455,holt,"Yes, this is unfortunate, but let's not overreact to one graffito."
456,holt,This is easily dealt with. I'll just issue a statement saying vandals will be prosecuted.
457,holt,I see.
458,holt,"Hmm. I'm surprised she hasn't marched in here to say ""I told you so."""
459,holt,Yes.
460,holt,"Gina, as you predicted, there was some backlash to the poster campaign."
461,holt,"I think a problem the police have had is our inability to admit our mistakes, so this campaign was, um...a mistake. You told me that, but I got defensive and didn't listen. I should have been open to criticism, as this department should be open to criticism. That's why I'm replacing these with...these. My email address is at the bottom, and I intend to respond to every message I receive. Before we put them up, I want to hear your thoughts."
462,holt,For whom?
463,holt,"Look, Gina, is that a talking raisin?"
464,holt,"The task force? Oh, I thought you'd be handing me another vapid PR assignment."
465,holt,But I'm his boss.
466,holt,What's going on?
467,holt,"Yes, yours is an idiot, and mine is a fork-tongued lizard witch. The Oolong Slayer. He's back."
468,holt,What's your plan?
469,holt,Wrong. We're gonna work the case in secret.
470,holt,"No one can know about this, understood?"
471,holt,"If I recall correctly, the Oolong Slayer last struck five years ago. He left behind no DNA or fingerprints, but he did leave his calling card, a tea bag in his victim's mouth."
472,holt,"Very cool—I mean, awful. What's our strategy?"
473,holt,Let's not overlook the fact that he turned his crime scenes into tea parties for dollies.
474,holt,"You look into the B&Es and I'll check out the juvie angle. Now, before we begin in earnest, I'd like to propose a toast."
475,holt,A 25-year-old port seems appropriate.
476,holt,To catching a serial killer.
477,holt,I'll take your word for it. The juvie angle didn't pan out.
478,holt,"Good work, Peralta."
479,holt,We create a diversion while Gina copies his customer files.
480,holt,"Let's do this. Oh, hey, pal, that's my ginkgo."
481,holt,I'm still young enough to beat that ginkgo out of your hands.
482,holt,"Partner. Not many people buy that tea, and only one has been doing so since the killings first began, and he has a record. His name? Braxton O'Reilly."
483,holt,Still counts. Let's get that psycho.
484,holt,Where is Braxton O'Reilly? Where is that psycho monster?
485,holt,Our condolences.
486,holt,"It was an error, but—"
487,holt,"I don't know why you insisted on eating here, Gina. It seems like your average greasy spoon."
488,holt,"Peralta, what are you doing here?"
489,holt,"No, no, we can't be seen together. Gina, did you know about this?"
490,holt,"Are you insane? We were just suspended for screwing up this case. I shouldn't even be talking to you. Wuntch can probably hear us right now. She has super sonar hearing, because she's a bat."
491,holt,"That's your dream. Mine was to run the Nine-Nine, and that will never happen again. Just give the case to Major Crimes."
492,holt,Am I invited? Drop the weapon.
493,holt,"Now say ""punk."""
494,holt,Punk!
495,holt,"Thank you, Peralta."
496,holt,"No, for giving me one last chance to be a real cop before going back to a lifetime of PR drivel."
497,holt,That's troubling.
498,holt,"No, no. I think you should take sole credit. Wuntch will only use it to sink me. I'm glad your dream came true, Peralta. Now, if you'll excuse me, the drivel calls."
499,holt,"Hello, squad."
500,holt,"Good news. The Vulture is out, and I'm back."
501,holt,I didn't. I guess someone just had my back.
502,holt,She wanted to make a proper entrance.
503,holt,"Good morning, Boyle. It's Halloween; I'm surprised you didn't put on a costume."
504,holt,Does it matter if I say no?
505,holt,"Squad, that's enough. You're making Boyle feel bad on purpose. He's Elvis."
506,holt,"Elvis Stojko, the Canadian figure skater."
507,holt,I never agreed to that.
508,holt,"The first year, by sheer, dumb luck, Jake eked out a feeble victory."
509,holt,Sad because the competition was so dismal.
510,holt,"This year's the tie-breaker, a final heist to decide once and for all the true king of the Nine-Nine."
511,holt,"This year, we both attempt to steal the same object, instead of Jake attempting to steal one from me."
512,holt,";The crown will be locked in this briefcase, which in turn will be locked in the interrogation room."
513,holt,"With the first pick of the draft, I choose Terry."
514,holt,I pick Gina.
515,holt,"Hang on, Santiago. I'm not sure I can trust you. You're Peralta's... paramour. Maybe you should be on his team."
516,holt,"Yeah, Amy's out. By midnight, whoever has the crown will be the king of the Nine-Nine."
517,holt,I'm good.
518,holt,"Yes, I'm the fool. You fool."
519,holt,"Sergeant, are you familiar with the Hungarian fencing term, Hosszú Gorcs?"
520,holt,"It's a strategy of letting your opponent win points early to give them a sense of overconfidence, thus exposing a much easier target for you later."
521,holt,"Of course. Jeffords, we'll rendezvous later."
522,holt,"Well, that's an intriguing proposition. You certainly could be useful—"
523,holt,"To Jake! I got you, Peralta! You're not fooling anyone!"
524,holt,"Because the cleavage cloaks the camera with its curves. That will be all, spy. Sorry I said cleavage."
525,holt,"It's go time, Sergeant."
526,holt,And...Ding.
527,holt,Time for the twin twist.
528,holt,"Nothing—just enjoying a taste of my favorite beverage, the soda pop."
529,holt,Hmm.
530,holt,Ahh. It's delicious.
531,holt,"Why would I have the crown, Jake? Isn't it still in the interrogation room?"
532,holt,"No, after you."
533,holt,"It was the worst thing in the world—worse than a fruit-forward Riesling. No, I'm not exaggerating. Anyhow, I cleverly ditched the crown in a trash can. Wait a minute so as to not arouse suspicion and then retrieve it."
534,holt,"I know you're joking, but on the off chance you aren't—No."
535,holt,Damn it. That son of a bitch is good.
536,holt,"Hello, Peralta."
537,holt,Midnight nears.
538,holt,Tick tock indeed.
539,holt,"You know it's ""for whom."" Don't try to provoke me."
540,holt,Wait—what?
541,holt,"Yes, I too need to be excused."
542,holt,I don't know who has it.
543,holt,"Oh, Santiago. There's my protégé."
544,holt,Janitor? Address? Al?
545,holt,I wouldn't have it any other way. You are my wisest detective.
546,holt,Love? Ha. What's love compared to the respect of a workplace superior?
547,holt,We should apologize.
548,holt,Fat chance.
549,holt,"Alpha Team, this is the Golden Sparrow. Rendezvous at Drop Zone Yankee."
550,holt,Or did you?
551,holt,"Of course we're looking for Al, you imbecile! Sorry."
552,holt,Al? Al? Where's Al?
553,holt,Good God. Are you Al the janitor?
554,holt,I don't understand what is happening.
555,holt,What?
556,holt,And I threw the crown in the trash can.
557,holt,Gladly.
558,holt,Drinks are on us.
559,holt,Drinks are on me.
560,holt,Just call the U.S. marshal who handles our case. She'll explain everything.
561,holt,Tell that to the Dutch Hookbill.
562,holt,And how do you propose to pull that off?
563,holt,I'm Raymond. I don't care for baseball.
564,holt,I don't think Evan gets what we're doing here.
565,holt,Jake!
566,holt,Ah!
567,holt,Why isn't he coming in?
568,holt,What would it take for him to intervene? Do I actually have to kill you?
569,holt,Ugh!
570,holt,I think so.
571,holt,"It's 2016, man. This is on you."
572,holt,There's nothing false about it. We committed several felonies and escaped from jail.
573,holt,"Figgis is in town, and we have no car, no money, no guns; we can't go back to our houses because the police are looking for us."
574,holt,Absolutely not.
575,holt,"Nothing, I just think that we can do it alone."
576,holt,"All right. The Nine-Nine bailed me out once before when I was taken hostage by Bob, a man I had put my trust in, like a fool. I don't want them to rescue me again. It's embarrassing. I need to clean up my own mess."
